concept,concept_type,domain,drill_up,indicator_url,name,scale,scales,tooltip,unit
geographic_regions,entity_set,geo,,,Geographic regions,,,,
income_groups,entity_set,geo,,,Income groups,,,,
landlocked,entity_set,geo,,,Landlocked,,,,
g77_and_oecd_countries,entity_set,geo,,,G77 and OECD countries,,,,
geographic_regions_in_4_colors,entity_set,geo,,,Geographic regions in 4 colors,,,,
main_religion_2008,entity_set,geo,,,Main religion 2008,,,,
geo,entity_domain,,,,Geo,,,,
country,entity_set,geo,"['geographic_regions', 'income_groups', 'landlocked', 'g77_and_oecd_countries', 'geographic_regions_in_4_colors', 'main_religion_2008']",,Country,,,,
time,time,,,,Time,,,,
name,string,,,,Name,,,,
gwid,string,,,,Gwid,,,,
name_short,string,,,,Name Short,,,,
name_long,string,,,,Name Long,,,,
description,string,,,,Description,,,,
geographic_regions_id,string,,,,Geographic regions id,,,,
income_groups_id,string,,,,Income groups id,,,,
landlocked_id,string,,,,Landlocked id,,,,
g77_and_oecd_countries_id,string,,,,G77 and OECD countries id,,,,
geographic_regions_in_4_colors_id,string,,,,Geographic regions in 4 colors id,,,,
main_religion_2008_id,string,,,,Main religion 2008 id,,,,
gapminder_list,string,,,,gapminder_list,,,,
alternative_1,string,,,,alternative_1,,,,
alternative_2,string,,,,alternative_2,,,,
alternative_3,string,,,,alternative_3,,,,
alternative_4_cdiac,string,,,,alternative_4_cdiac,,,,
pandg,string,,,,pandg,,,,
god_id,string,,,,god_id,,,,
alt_5,string,,,,alt_5,,,,
upper_case_name,string,,,,upper_case_name,,,,
code,string,,,,code,,,,
number,string,,,,number,,,,
arb1,string,,,,arb1,,,,
arb2,string,,,,arb2,,,,
arb3,string,,,,arb3,,,,
arb4,string,,,,arb4,,,,
arb5,string,,,,arb5,,,,
arb6,string,,,,arb6,,,,
world_4region,entity_set,geo,,,world_4region,,,,
latitude,measure,,,,latitude,lat,,,degrees
longitude,measure,,,,longitude,long,,,degrees
tooltip,string,,,,tooltip,,,,
indicator_url,string,,,,indicator_url,,,,
scale,string,,,,Scale,,,,
unit,string,,,,Unit,,,,
children_per_woman_total_fertility,measure,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0TAlJeCEzcGQ,Babies per woman,lin,"['linear', 'log']",Total fertility rate. The number of children that would be born to each woman with prevailing age-specific fertility rates. ,
co2_emissions_tonnes_per_person,measure,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1gkNuUEXOGag,CO2 emissions,lin,"['linear', 'log']",Carbon dioxide emissions from the burning of fossil fuels (metric tonnes of CO2 per person). ,tons per person
income_per_person_gdppercapita_ppp_inflation_adjusted,measure,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1jiMAkmq1iMg,Income per person,log,"['log', 'linear']","Gross domestic product per person adjusted for differences in purchasing power (in international dollars, fixed 2005 prices, PPP based on 2005 ICP). ",$/year (GDP/capita)
child_mortality_0_5_year_olds_dying_per_1000_born,measure,,,http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCcGhBd2NOQVZ1eWowNVpSNjl1c3lRSWc,Child mortality rate,log,"['log', 'linear']","Death of children under five years of age per 1,000 live births ",deaths under age 5 per 1000 births
life_expectancy_years,measure,,,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2tPLxKvvnNPA,Life expectancy,lin,"['linear', 'log']",The average number of years a newborn child would live if current mortality patterns were to stay the same. ,years
aid_given_2007_us,measure,,,http://spreadsheets.google.com/pub?key=tFOn62dEO9QCyIKK6kgSYRQ,Aid given,lin,"['linear', 'log']","Total amount of allocable aid for official development assistance (ODA) given by the donor countries, expressed in constant 2007 US$.",$
aid_given_per_person_2007_us,measure,,,http://spreadsheets.google.com/pub?key=tGTst0WEm8V8zI9LOYvGmTg,Aid given per person,lin,"['linear', 'log']",Total amount of official development assistance (ODA) aid that has been given during this year divided by the population of the country (2007 US$),$
aid_given_percent_of_gni,measure,,,http://spreadsheets.google.com/pub?key=tQR7RhlZdPjBkVCDPPF4zUg,"Aid given, % of GNI",lin,"['linear', 'log']",Percentage of the gross national income (GNI) of each recepient country that has been given as official development assistance (ODA) aid during this year. ,
water_and_sanitation_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=tXn3DSfvsYujaBP9bvH6acg,Water and sanitation aid given,lin,"['linear', 'log']",Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in water and sanitation.,% of aid
economical_infrastructure_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=tMxqFNS7BC5QyLrhBO8DXqQ,Economical infrastructure aid given,lin,"['linear', 'log']",Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in economical infrastructures.,% of aid
production_sector_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=tMjW0fdVf9VJaxVk_VFSUhg,Production sector aid given,lin,"['linear', 'log']","Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in production sectors, including agriculture and industry, etc.",% of aid
multisector_cross_cutting_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=tBJ1rYQ-nA6fqI6_Gn3mBNg,Multisector cross-cutting aid given,lin,"['linear', 'log']",Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in multisector cross-cutting.,% of aid
education_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=tQQaILpdu-vGtSkJLr2VQCw,Education aid given,lin,"['linear', 'log']",Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in education.,% of aid
health_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=tRybjVoG5Ah9yhKcEx16u5Q,Health aid given,lin,"['linear', 'log']",Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in health.,% of aid
population_policies_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=tjFf_YqwB6tgSG9L0r0Ywdg,Population policies aid given,lin,"['linear', 'log']",Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in population policies/programs and reproductive health.,% of aid
government_and_society_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=t3IAEOsfHK-z6rvGLCDR74g,Government and society aid given,lin,"['linear', 'log']",Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in government and civil societies.,% of aid
other_social_services_aid_given_percent_of_aid,measure,,,http://spreadsheets.google.com/pub?key=tqjUijP4mi_dHKkCZjOn0oA,Other social services aid given,lin,"['linear', 'log']",Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in other social infrastructures and services.,% of aid
aid_received_total_us_inflation_adjusted,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHVuNVpKdnNCa08yV3NOd0Zsal9JaWc,Aid received,lin,"['linear', 'log']","The sum of aid each recepient country gets during this year from all donor countries in all sectors, expressed in fixed 2007 US$.",$
aid_received_per_person_current_us,measure,,,http://spreadsheets.google.com/pub?key=t9GL1nIZdtxszJbjKErN2Hg,Aid received per person,log,"['log', 'linear']","The average amount of aid each person in the recepient country gets during this year from all donor countries in all sectors, expressed in current US$.",$
aid_received_percent_of_gni,measure,,,http://spreadsheets.google.com/pub?key=tzK6dx2JltRfVXFI1ADh84w,"Aid received, % of GNI",lin,"['linear', 'log']",Percentage of the gross national income (GNI) of each recepient country that comes from official development assistance (ODA) aid during this year. ,
dollar_billionaires_per_million_people,measure,,,http://spreadsheets.google.com/pub?key=tAQpQeQkuyA1-ZovdDJ7JAw,Dollar billionaires per million,log,"['log', 'linear']","Number of billionaires among every 1 million people in the country of their citizenship, calculation based on data from Forbes.com",
average_age_of_dollar_billionaires_years,measure,,,http://spreadsheets.google.com/pub?key=t_KhYe1qTGh4c90N61AUDSg,Average age of $ billionaires,lin,"['linear', 'log']","The average age of billionaires in the country of their citizenship, calculation based on data from Forbes.com",years
total_number_of_dollar_billionaires,measure,,,http://spreadsheets.google.com/pub?key=tNWhbu-1UIPPxtmRHtnINOQ,Dollar billionaires,lin,"['linear', 'log']","Total number of billionaires in the country of their citizenship, provided by Forbes.com",
debt_to_foreigners_by_public_and_private_percent_of_gni,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdDlSTTVWUkU3Z254aEhERmVuQWZaeWc,Debt to foreigners,lin,"['linear', 'log']","External debt, total (% of GNI)","public & private, % of GNI"
total_reserves_percent_of_debt_to_foreigners,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdC1iMVRuVUFUd08tVDM0ZDF0cnFtekE,Total reserves,lin,"['linear', 'log']",Total reserves (% of external debt),% of debt to foreigners
total_gdp_us_inflation_adjusted,measure,,,http://spreadsheets.google.com/pub?key=pyj6tScZqmEfI4sLVvEQtHw,Total GDP,log,"['log', 'linear']",Total GDP (constant exchange rate US$),$
gdppercapita_us_inflation_adjusted,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHo5S0J6ekhVOF9QaVhod05QSGV4T3c,GDP/capita,log,"['log', 'linear']",GDP per capita in exchange rate terms and adjusted for inflation (2000 US$),$
gdpperemployee_us_inflation_adjusted,measure,,,http://spreadsheets.google.com/pub?key=rcTO3doih5lvJCjgLSvlajA,GDP/employee,log,"['log', 'linear']","The average Gross Domestic Products per each employee during the given year, counted by constant 1990 US$.",$
gdpperworking_hour_us_inflation_adjusted,measure,,,http://spreadsheets.google.com/pub?key=r6kTHMinnVedj8gPsUtfZ0g,GDP/working hour,log,"['log', 'linear']","The average Gross Domestic Products per hour per person, counted by constant 1990 US$.",$
gdppercapita_growth_over_next_10_years,measure,,,http://spreadsheets.google.com/pub?key=tvllZwGIbhwxLD7EXFhPeXQ,GDP/capita growth over next 10 years,,"['linear', 'log']","Average growth in GDP per capita over the subsequent 10 years, i.e. the data for 1980 concerns the average growth 1980-90. The data is based on income per person v12. Projections after 2005.",
gdppercapita_growth_percent_per_year,measure,,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEdDWHhBcFpjMUo4MGE2X2Q4WXFQRGc,GDP/capita growth,lin,"['linear', 'log']",Annual growth in GDP pc. Based on World Bank data.,% per year
total_gni_ppp_current_international,measure,,,https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdFl6cDkxcmZxM0pVNXBUYjE1ZmNqVUE,Total GNI,log,"['log', 'linear']",PPP GNI (formerly PPP GNP) is gross national income converted to international dollars using purchasing power parity rates. An international dollar has the same purchasing power over GNI as a U.S. dollar has in the United States.,"PPP, current international $"
gnipercapita_constant_2000_us,measure,,,https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdFdqZ0NOdjluMmoyUTBTWTRjWWQzQVE,GNI/capita,log,"['log', 'linear']",GNI per capita (constant 2000 US$),$
gnipercapita_atlasmethod_current_us,measure,,,https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdFVrVDZQUnRwZ2lqT2lPMXcySXZwRmc,GNI/capita (Atlas method),log,"['log', 'linear']","GNI per capita, Atlas method (current US$)",$
